features_id,bedrooms,bathrooms,squareFootage,features,lotSize
46,3.0,2.0,2073.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Asphalt', 'unitCount': 1}",10067.0
47,2.0,2.0,770.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Commercial', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",59013.0
48,3.0,2.0,1134.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick Veneer', 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 6}",12218.0
49,4.0,2.0,1558.0,"{'cooling': True, 'coolingType': 'Wall', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Gas Log', 'foundationType': 'Footing', 'garage': True, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1, 'floorCount': 2, 'garageSpaces': 2}",6970.0
50,0.0,0.0,2039.0,"{'garage': True, 'garageType': 'Garage'}",32670.0
51,3.0,0.0,950.0,"{'cooling': True, 'exteriorType': 'Brick', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'roofType': 'Shingle', 'roomCount': 6, 'coolingType': 'Commercial', 'unitCount': 1}",43560.0
52,3.0,2.5,2409.0,{'unitCount': 1},20038.0
53,2.0,1.0,799.0,"{'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Central', 'roomCount': 5, 'unitCount': 1}",7180.0
54,3.0,2.0,1988.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",8000.0
55,3.0,2.0,1616.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Gas Log', 'foundationType': 'Footing', 'garage': True, 'garageType': 'Garage', 'heating': True, 'roofType': 'Composition Shingle', 'unitCount': 1}",6534.0
56,4.0,2.0,2055.0,"{'foundationType': 'Slab / Mat / Raft', 'heating': True, 'heatingType': 'Forced Air'}",7841.0
