sales_id,lastSaleDate,lastSalePrice
0,unknown,
179,2024-04-23T00:00:00.000Z,232000.0
180,2020-12-15T00:00:00.000Z,372500.0
181,2021-03-12T00:00:00.000Z,320500.0
182,2020-09-21T00:00:00.000Z,876500.0
183,2021-09-20T00:00:00.000Z,510000.0
184,1998-10-06T00:00:00.000Z,154900.0
185,2001-12-11T00:00:00.000Z,150000.0
186,1989-02-10T00:00:00.000Z,204000.0
187,2011-05-05T00:00:00.000Z,175000.0
188,2018-11-16T00:00:00.000Z,705000.0
189,2001-07-05T00:00:00.000Z,35000.0
190,2020-07-15T00:00:00.000Z,
191,2014-04-14T00:00:00.000Z,303000.0
192,2023-03-31T00:00:00.000Z,300000.0
193,2016-08-17T00:00:00.000Z,276500.0
194,2021-10-12T00:00:00.000Z,
195,2006-08-31T00:00:00.000Z,24147.0
196,2020-11-02T00:00:00.000Z,145000.0
197,2023-06-23T00:00:00.000Z,
198,2023-04-07T00:00:00.000Z,
199,2011-12-05T00:00:00.000Z,415500.0
200,2021-04-29T00:00:00.000Z,180490.0
201,2006-08-23T00:00:00.000Z,239500.0
202,2015-11-05T00:00:00.000Z,178000.0
203,2020-10-28T00:00:00.000Z,415000.0
204,2002-03-18T00:00:00.000Z,11000.0
205,2021-02-25T00:00:00.000Z,555005.0
206,2012-12-14T00:00:00.000Z,1120500.0
207,2016-11-29T00:00:00.000Z,299000.0
208,2020-09-21T00:00:00.000Z,200000.0
209,2022-04-11T00:00:00.000Z,450000.0
210,2016-07-18T00:00:00.000Z,136500.0
211,2014-09-25T00:00:00.000Z,328000.0
212,2014-01-02T00:00:00.000Z,365233.0
213,2014-05-02T00:00:00.000Z,510000.0
214,2022-02-15T00:00:00.000Z,160000.0
215,2016-12-28T00:00:00.000Z,
216,2021-04-06T00:00:00.000Z,675000.0
217,2022-04-21T00:00:00.000Z,170000.0
218,2017-05-15T00:00:00.000Z,
219,2019-07-05T00:00:00.000Z,
220,2016-08-19T00:00:00.000Z,
221,2001-06-22T00:00:00.000Z,5000.0
222,2021-10-14T00:00:00.000Z,215000.0
223,2021-03-24T00:00:00.000Z,645000.0
224,2021-08-16T00:00:00.000Z,60000.0
225,2020-11-13T00:00:00.000Z,
226,2022-05-27T00:00:00.000Z,
227,2005-04-12T00:00:00.000Z,138100.0
228,2006-03-29T00:00:00.000Z,20382.0
229,2021-07-28T00:00:00.000Z,465000.0
230,2021-11-30T00:00:00.000Z,252500.0
231,2019-02-26T00:00:00.000Z,
232,1996-05-02T00:00:00.000Z,
233,2007-08-14T00:00:00.000Z,50000.0
234,2020-03-16T00:00:00.000Z,
235,2022-04-06T00:00:00.000Z,
236,2010-07-29T00:00:00.000Z,55000.0
237,2010-06-14T00:00:00.000Z,545000.0
238,2009-05-05T00:00:00.000Z,
239,2013-07-23T00:00:00.000Z,
240,1994-03-14T00:00:00.000Z,107100.0
241,1982-02-01T00:00:00.000Z,
242,2022-03-23T00:00:00.000Z,356900.0
243,2023-10-23T00:00:00.000Z,
244,2002-02-05T00:00:00.000Z,138001.0
245,2016-04-21T00:00:00.000Z,376272.0
246,2020-06-03T00:00:00.000Z,
247,2023-09-18T00:00:00.000Z,
248,2011-07-11T00:00:00.000Z,
249,2000-08-01T00:00:00.000Z,
250,2023-03-13T00:00:00.000Z,857750.0
251,2019-02-28T00:00:00.000Z,59500.0
252,2003-12-06T00:00:00.000Z,75000.0
253,2019-10-31T00:00:00.000Z,257388.0
254,2004-02-10T00:00:00.000Z,22500.0
255,2017-08-29T00:00:00.000Z,279422.0
256,1996-06-25T00:00:00.000Z,234500.0
257,2012-11-09T00:00:00.000Z,104075.0
258,2024-07-17T00:00:00.000Z,510000.0
259,2013-07-19T00:00:00.000Z,188000.0
260,2020-06-19T00:00:00.000Z,121500.0
261,2007-10-10T00:00:00.000Z,1575000.0
262,2023-06-02T00:00:00.000Z,70000.0
263,2017-08-15T00:00:00.000Z,
264,2021-10-29T00:00:00.000Z,175000.0
265,2014-04-18T00:00:00.000Z,374000.0
266,2021-03-29T00:00:00.000Z,306100.0
267,2010-08-11T00:00:00.000Z,72500.0
268,2001-02-07T00:00:00.000Z,20000.0
269,2019-03-01T00:00:00.000Z,
270,2016-10-03T00:00:00.000Z,
271,2020-10-27T00:00:00.000Z,299900.0
272,2022-01-13T00:00:00.000Z,485000.0
273,2021-10-29T00:00:00.000Z,708007.0
274,2002-02-28T00:00:00.000Z,140000.0
275,2024-05-15T00:00:00.000Z,785000.0
276,2004-01-30T00:00:00.000Z,267950.0
277,2022-05-16T00:00:00.000Z,508000.0
278,2002-03-12T00:00:00.000Z,114000.0
279,2023-07-05T00:00:00.000Z,100000.0
280,1985-09-30T00:00:00.000Z,46000.0
281,2021-10-06T00:00:00.000Z,255000.0
282,2012-05-08T00:00:00.000Z,190000.0
283,2021-02-16T00:00:00.000Z,247500.0
284,2011-06-01T00:00:00.000Z,155000.0
285,2017-11-30T00:00:00.000Z,1400100.0
286,2022-02-07T00:00:00.000Z,
287,2022-02-17T00:00:00.000Z,195000.0
288,2017-05-02T00:00:00.000Z,
289,2023-12-08T00:00:00.000Z,
290,2017-02-28T00:00:00.000Z,1640000.0
291,2023-04-04T00:00:00.000Z,55000.0
292,2024-10-24T00:00:00.000Z,200000.0
293,2020-08-12T00:00:00.000Z,1179344.0
294,2018-04-09T00:00:00.000Z,
295,2021-05-11T00:00:00.000Z,395000.0
296,2020-02-07T00:00:00.000Z,510000.0
297,2018-08-07T00:00:00.000Z,
298,1995-09-01T00:00:00.000Z,244000.0
299,2020-08-19T00:00:00.000Z,110000.0
300,2021-07-01T00:00:00.000Z,
301,2017-07-25T00:00:00.000Z,49500.0
302,2018-06-12T00:00:00.000Z,517500.0
